machine_sk,machine_id,line_sk,machine_model_sk,machine_type_code,machine_sequence,serial_number,installation_date,rated_capacity,capacity_uom,operating_temperature_min_c,operating_temperature_max_c,criticality,status,effective_from,effective_to,is_current
"172","PUN-L05-CON01","","7","CON","1","SN-PUN-CON-01-0172","2021-11-08","80","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"173","PUN-L05-CON02","","8","CON","2","SN-PUN-CON-02-0173","2020-06-20","115","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"174","PUN-L05-CON03","","7","CON","3","SN-PUN-CON-03-0174","2019-01-07","150","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"175","PUN-L05-CMP01","","9","CMP","1","SN-PUN-CMP-01-0175","2023-08-16","110","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"176","PUN-L05-CMP02","","10","CMP","2","SN-PUN-CMP-02-0176","2022-03-03","75","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"177","PUN-L05-FRN01","","11","FRN","1","SN-PUN-FRN-01-0177","2021-10-13","1200","degC","600","1250","HIGH","ACTIVE","2022-01-01","","true"
"178","PUN-L05-INS01","","13","INS","1","SN-PUN-INS-01-0178","2020-05-24","100","unit_min","15","55","LOW","ACTIVE","2022-01-01","","true"
"179","PUN-L05-PKG01","","15","PKG","1","SN-PUN-PKG-01-0179","2019-12-10","50","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"180","PUN-L05-PAL01","","17","PAL","1","SN-PUN-PAL-01-0180","2023-07-21","30","unit_min","20","80","LOW","ACTIVE","2022-01-01","","true"
"181","CBE-L01-CNC01","","1","CNC","1","SN-CBE-CNC-01-0181","2021-03-07","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"182","CBE-L01-CNC02","","2","CNC","2","SN-CBE-CNC-02-0182","2020-10-19","150","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"183","CBE-L01-CNC03","","1","CNC","3","SN-CBE-CNC-03-0183","2019-05-06","180","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"184","CBE-L01-CNC04","","2","CNC","4","SN-CBE-CNC-04-0184","2023-12-18","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"185","CBE-L01-HPR01","","3","HPR","1","SN-CBE-HPR-01-0185","2022-07-01","80","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"186","CBE-L01-HPR02","","4","HPR","2","SN-CBE-HPR-02-0186","2021-02-13","100","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"187","CBE-L01-ROB01","","5","ROB","1","SN-CBE-ROB-01-0187","2020-09-23","50","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"188","CBE-L01-ROB02","","6","ROB","2","SN-CBE-ROB-02-0188","2019-04-10","70","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"189","CBE-L01-ROB03","","5","ROB","3","SN-CBE-ROB-03-0189","2023-11-22","90","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"190","CBE-L01-CON01","","7","CON","1","SN-CBE-CON-01-0190","2022-06-06","80","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"191","CBE-L01-CON02","","8","CON","2","SN-CBE-CON-02-0191","2021-01-18","115","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"192","CBE-L01-CON03","","7","CON","3","SN-CBE-CON-03-0192","2020-08-05","150","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"193","CBE-L01-CMP01","","9","CMP","1","SN-CBE-CMP-01-0193","2019-03-14","110","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"194","CBE-L01-CMP02","","10","CMP","2","SN-CBE-CMP-02-0194","2023-10-01","75","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"195","CBE-L01-FRN01","","11","FRN","1","SN-CBE-FRN-01-0195","2022-05-11","1200","degC","600","1250","HIGH","ACTIVE","2022-01-01","","true"
"196","CBE-L01-INS01","","13","INS","1","SN-CBE-INS-01-0196","2021-12-22","100","unit_min","15","55","LOW","ACTIVE","2022-01-01","","true"
"197","CBE-L01-PKG01","","15","PKG","1","SN-CBE-PKG-01-0197","2020-07-08","50","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"198","CBE-L01-PAL01","","17","PAL","1","SN-CBE-PAL-01-0198","2019-02-19","30","unit_min","20","80","LOW","ACTIVE","2022-01-01","","true"
"199","CBE-L02-CNC01","","1","CNC","1","SN-CBE-CNC-01-0199","2023-09-05","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"200","CBE-L02-CNC02","","2","CNC","2","SN-CBE-CNC-02-0200","2022-04-17","150","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"201","CBE-L02-CNC03","","1","CNC","3","SN-CBE-CNC-03-0201","2021-11-04","180","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"202","CBE-L02-CNC04","","2","CNC","4","SN-CBE-CNC-04-0202","2020-06-16","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"203","CBE-L02-HPR01","","3","HPR","1","SN-CBE-HPR-01-0203","2019-01-24","80","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"204","CBE-L02-HPR02","","4","HPR","2","SN-CBE-HPR-02-0204","2023-08-11","100","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"205","CBE-L02-ROB01","","5","ROB","1","SN-CBE-ROB-01-0205","2022-03-21","50","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"206","CBE-L02-ROB02","","6","ROB","2","SN-CBE-ROB-02-0206","2021-10-08","70","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"207","CBE-L02-ROB03","","5","ROB","3","SN-CBE-ROB-03-0207","2020-05-20","90","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"208","CBE-L02-CON01","","7","CON","1","SN-CBE-CON-01-0208","2019-12-04","80","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"209","CBE-L02-CON02","","8","CON","2","SN-CBE-CON-02-0209","2023-07-16","115","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"210","CBE-L02-CON03","","7","CON","3","SN-CBE-CON-03-0210","2022-02-03","150","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"211","CBE-L02-CMP01","","9","CMP","1","SN-CBE-CMP-01-0211","2021-09-12","110","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"212","CBE-L02-CMP02","","10","CMP","2","SN-CBE-CMP-02-0212","2020-04-24","75","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"213","CBE-L02-FRN01","","11","FRN","1","SN-CBE-FRN-01-0213","2019-11-09","1200","degC","600","1250","HIGH","ACTIVE","2022-01-01","","true"
"214","CBE-L02-INS01","","13","INS","1","SN-CBE-INS-01-0214","2023-06-20","100","unit_min","15","55","LOW","ACTIVE","2022-01-01","","true"
"215","CBE-L02-PKG01","","15","PKG","1","SN-CBE-PKG-01-0215","2022-01-06","50","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"216","CBE-L02-PAL01","","17","PAL","1","SN-CBE-PAL-01-0216","2021-08-17","30","unit_min","20","80","LOW","ACTIVE","2022-01-01","","true"
"217","CBE-L03-CNC01","","1","CNC","1","SN-CBE-CNC-01-0217","2020-03-03","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"218","CBE-L03-CNC02","","2","CNC","2","SN-CBE-CNC-02-0218","2019-10-15","150","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"219","CBE-L03-CNC03","","1","CNC","3","SN-CBE-CNC-03-0219","2023-05-02","180","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"220","CBE-L03-CNC04","","2","CNC","4","SN-CBE-CNC-04-0220","2022-12-14","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"221","CBE-L03-HPR01","","3","HPR","1","SN-CBE-HPR-01-0221","2021-07-22","80","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"222","CBE-L03-HPR02","","4","HPR","2","SN-CBE-HPR-02-0222","2020-02-09","100","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"223","CBE-L03-ROB01","","5","ROB","1","SN-CBE-ROB-01-0223","2019-09-19","50","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"224","CBE-L03-ROB02","","6","ROB","2","SN-CBE-ROB-02-0224","2023-04-06","70","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"225","CBE-L03-ROB03","","5","ROB","3","SN-CBE-ROB-03-0225","2022-11-18","90","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"226","CBE-L03-CON01","","7","CON","1","SN-CBE-CON-01-0226","2021-06-02","80","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"227","CBE-L03-CON02","","8","CON","2","SN-CBE-CON-02-0227","2020-01-14","115","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"228","CBE-L03-CON03","","7","CON","3","SN-CBE-CON-03-0228","2019-08-01","150","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"229","CBE-L03-CMP01","","9","CMP","1","SN-CBE-CMP-01-0229","2023-03-10","110","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"230","CBE-L03-CMP02","","10","CMP","2","SN-CBE-CMP-02-0230","2022-10-22","75","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"231","CBE-L03-FRN01","","11","FRN","1","SN-CBE-FRN-01-0231","2021-05-07","1200","degC","600","1250","HIGH","ACTIVE","2022-01-01","","true"
"232","CBE-L03-INS01","","13","INS","1","SN-CBE-INS-01-0232","2020-12-18","100","unit_min","15","55","LOW","ACTIVE","2022-01-01","","true"
"233","CBE-L03-PKG01","","15","PKG","1","SN-CBE-PKG-01-0233","2019-07-04","50","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"234","CBE-L03-PAL01","","17","PAL","1","SN-CBE-PAL-01-0234","2023-02-15","30","unit_min","20","80","LOW","ACTIVE","2022-01-01","","true"
"235","CBE-L04-CNC01","","1","CNC","1","SN-CBE-CNC-01-0235","2022-09-01","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"236","CBE-L04-CNC02","","2","CNC","2","SN-CBE-CNC-02-0236","2021-04-13","150","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"237","CBE-L04-CNC03","","1","CNC","3","SN-CBE-CNC-03-0237","2020-11-25","180","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"238","CBE-L04-CNC04","","2","CNC","4","SN-CBE-CNC-04-0238","2019-06-12","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"239","CBE-L04-HPR01","","3","HPR","1","SN-CBE-HPR-01-0239","2023-01-20","80","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"240","CBE-L04-HPR02","","4","HPR","2","SN-CBE-HPR-02-0240","2022-08-07","100","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"241","CBE-L04-ROB01","","5","ROB","1","SN-CBE-ROB-01-0241","2021-03-17","50","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"242","CBE-L04-ROB02","","6","ROB","2","SN-CBE-ROB-02-0242","2020-10-04","70","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"243","CBE-L04-ROB03","","5","ROB","3","SN-CBE-ROB-03-0243","2019-05-16","90","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"244","CBE-L04-CON01","","7","CON","1","SN-CBE-CON-01-0244","2023-12-25","80","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"245","CBE-L04-CON02","","8","CON","2","SN-CBE-CON-02-0245","2022-07-12","115","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"246","CBE-L04-CON03","","7","CON","3","SN-CBE-CON-03-0246","2021-02-24","150","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"247","CBE-L04-CMP01","","9","CMP","1","SN-CBE-CMP-01-0247","2020-09-08","110","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"248","CBE-L04-CMP02","","10","CMP","2","SN-CBE-CMP-02-0248","2019-04-20","75","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"249","CBE-L04-FRN01","","11","FRN","1","SN-CBE-FRN-01-0249","2023-11-05","1200","degC","600","1250","HIGH","ACTIVE","2022-01-01","","true"
"250","CBE-L04-INS01","","13","INS","1","SN-CBE-INS-01-0250","2022-06-16","100","unit_min","15","55","LOW","ACTIVE","2022-01-01","","true"
"251","CBE-L04-PKG01","","15","PKG","1","SN-CBE-PKG-01-0251","2021-01-02","50","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"252","CBE-L04-PAL01","","17","PAL","1","SN-CBE-PAL-01-0252","2020-08-13","30","unit_min","20","80","LOW","ACTIVE","2022-01-01","","true"
"253","CBE-L05-CNC01","","1","CNC","1","SN-CBE-CNC-01-0253","2019-03-24","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"254","CBE-L05-CNC02","","2","CNC","2","SN-CBE-CNC-02-0254","2023-10-11","150","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"255","CBE-L05-CNC03","","1","CNC","3","SN-CBE-CNC-03-0255","2022-05-23","180","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"256","CBE-L05-CNC04","","2","CNC","4","SN-CBE-CNC-04-0256","2021-12-10","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"257","CBE-L05-HPR01","","3","HPR","1","SN-CBE-HPR-01-0257","2020-07-18","80","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"258","CBE-L05-HPR02","","4","HPR","2","SN-CBE-HPR-02-0258","2019-02-05","100","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"259","CBE-L05-ROB01","","5","ROB","1","SN-CBE-ROB-01-0259","2023-09-15","50","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"260","CBE-L05-ROB02","","6","ROB","2","SN-CBE-ROB-02-0260","2022-04-02","70","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"261","CBE-L05-ROB03","","5","ROB","3","SN-CBE-ROB-03-0261","2021-11-14","90","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"262","CBE-L05-CON01","","7","CON","1","SN-CBE-CON-01-0262","2020-06-23","80","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"263","CBE-L05-CON02","","8","CON","2","SN-CBE-CON-02-0263","2019-01-10","115","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"264","CBE-L05-CON03","","7","CON","3","SN-CBE-CON-03-0264","2023-08-22","150","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"265","CBE-L05-CMP01","","9","CMP","1","SN-CBE-CMP-01-0265","2022-03-06","110","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"266","CBE-L05-CMP02","","10","CMP","2","SN-CBE-CMP-02-0266","2021-10-18","75","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"267","CBE-L05-FRN01","","11","FRN","1","SN-CBE-FRN-01-0267","2020-05-03","1200","degC","600","1250","HIGH","ACTIVE","2022-01-01","","true"
"268","CBE-L05-INS01","","13","INS","1","SN-CBE-INS-01-0268","2019-12-14","100","unit_min","15","55","LOW","ACTIVE","2022-01-01","","true"
"269","CBE-L05-PKG01","","15","PKG","1","SN-CBE-PKG-01-0269","2023-07-25","50","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"270","CBE-L05-PAL01","","17","PAL","1","SN-CBE-PAL-01-0270","2022-02-11","30","unit_min","20","80","LOW","ACTIVE","2022-01-01","","true"
