machine_id,plant_id,line_id,production_area_id,machine_type,machine_type_code,machine_sequence,operating_state,criticality
CBE-L03-CMP01,PLT-CBE-01,CBE-L03,CBE-PA03,Compressor,CMP,01,OFFLINE,MEDIUM
CBE-L03-CMP02,PLT-CBE-01,CBE-L03,CBE-PA03,Compressor,CMP,02,OFFLINE,MEDIUM
CBE-L03-FRN01,PLT-CBE-01,CBE-L03,CBE-PA03,Furnace,FRN,01,OFFLINE,HIGH
CBE-L03-INS01,PLT-CBE-01,CBE-L03,CBE-PA03,Inspection,INS,01,OFFLINE,LOW
CBE-L03-PKG01,PLT-CBE-01,CBE-L03,CBE-PA03,Packaging,PKG,01,OFFLINE,LOW
CBE-L03-PAL01,PLT-CBE-01,CBE-L03,CBE-PA03,Palletizer,PAL,01,OFFLINE,LOW
CBE-L04-CNC01,PLT-CBE-01,CBE-L04,CBE-PA04,CNC,CNC,01,OFFLINE,HIGH
CBE-L04-CNC02,PLT-CBE-01,CBE-L04,CBE-PA04,CNC,CNC,02,OFFLINE,HIGH
CBE-L04-CNC03,PLT-CBE-01,CBE-L04,CBE-PA04,CNC,CNC,03,OFFLINE,HIGH
CBE-L04-CNC04,PLT-CBE-01,CBE-L04,CBE-PA04,CNC,CNC,04,OFFLINE,HIGH
CBE-L04-HPR01,PLT-CBE-01,CBE-L04,CBE-PA04,Hydraulic Press,HPR,01,OFFLINE,HIGH
CBE-L04-HPR02,PLT-CBE-01,CBE-L04,CBE-PA04,Hydraulic Press,HPR,02,OFFLINE,HIGH
CBE-L04-ROB01,PLT-CBE-01,CBE-L04,CBE-PA04,Industrial Robot,ROB,01,OFFLINE,MEDIUM
CBE-L04-ROB02,PLT-CBE-01,CBE-L04,CBE-PA04,Industrial Robot,ROB,02,OFFLINE,MEDIUM
CBE-L04-ROB03,PLT-CBE-01,CBE-L04,CBE-PA04,Industrial Robot,ROB,03,OFFLINE,MEDIUM
CBE-L04-CON01,PLT-CBE-01,CBE-L04,CBE-PA04,Conveyor,CON,01,OFFLINE,LOW
CBE-L04-CON02,PLT-CBE-01,CBE-L04,CBE-PA04,Conveyor,CON,02,OFFLINE,LOW
CBE-L04-CON03,PLT-CBE-01,CBE-L04,CBE-PA04,Conveyor,CON,03,OFFLINE,LOW
CBE-L04-CMP01,PLT-CBE-01,CBE-L04,CBE-PA04,Compressor,CMP,01,OFFLINE,MEDIUM
CBE-L04-CMP02,PLT-CBE-01,CBE-L04,CBE-PA04,Compressor,CMP,02,OFFLINE,MEDIUM
CBE-L04-FRN01,PLT-CBE-01,CBE-L04,CBE-PA04,Furnace,FRN,01,OFFLINE,HIGH
CBE-L04-INS01,PLT-CBE-01,CBE-L04,CBE-PA04,Inspection,INS,01,OFFLINE,LOW
CBE-L04-PKG01,PLT-CBE-01,CBE-L04,CBE-PA04,Packaging,PKG,01,OFFLINE,LOW
CBE-L04-PAL01,PLT-CBE-01,CBE-L04,CBE-PA04,Palletizer,PAL,01,OFFLINE,LOW
CBE-L05-CNC01,PLT-CBE-01,CBE-L05,CBE-PA05,CNC,CNC,01,OFFLINE,HIGH
CBE-L05-CNC02,PLT-CBE-01,CBE-L05,CBE-PA05,CNC,CNC,02,OFFLINE,HIGH
CBE-L05-CNC03,PLT-CBE-01,CBE-L05,CBE-PA05,CNC,CNC,03,OFFLINE,HIGH
CBE-L05-CNC04,PLT-CBE-01,CBE-L05,CBE-PA05,CNC,CNC,04,OFFLINE,HIGH
CBE-L05-HPR01,PLT-CBE-01,CBE-L05,CBE-PA05,Hydraulic Press,HPR,01,OFFLINE,HIGH
CBE-L05-HPR02,PLT-CBE-01,CBE-L05,CBE-PA05,Hydraulic Press,HPR,02,OFFLINE,HIGH
CBE-L05-ROB01,PLT-CBE-01,CBE-L05,CBE-PA05,Industrial Robot,ROB,01,OFFLINE,MEDIUM
CBE-L05-ROB02,PLT-CBE-01,CBE-L05,CBE-PA05,Industrial Robot,ROB,02,OFFLINE,MEDIUM
CBE-L05-ROB03,PLT-CBE-01,CBE-L05,CBE-PA05,Industrial Robot,ROB,03,OFFLINE,MEDIUM
CBE-L05-CON01,PLT-CBE-01,CBE-L05,CBE-PA05,Conveyor,CON,01,OFFLINE,LOW
CBE-L05-CON02,PLT-CBE-01,CBE-L05,CBE-PA05,Conveyor,CON,02,OFFLINE,LOW
CBE-L05-CON03,PLT-CBE-01,CBE-L05,CBE-PA05,Conveyor,CON,03,OFFLINE,LOW
CBE-L05-CMP01,PLT-CBE-01,CBE-L05,CBE-PA05,Compressor,CMP,01,OFFLINE,MEDIUM
CBE-L05-CMP02,PLT-CBE-01,CBE-L05,CBE-PA05,Compressor,CMP,02,OFFLINE,MEDIUM
CBE-L05-FRN01,PLT-CBE-01,CBE-L05,CBE-PA05,Furnace,FRN,01,OFFLINE,HIGH
CBE-L05-INS01,PLT-CBE-01,CBE-L05,CBE-PA05,Inspection,INS,01,OFFLINE,LOW
CBE-L05-PKG01,PLT-CBE-01,CBE-L05,CBE-PA05,Packaging,PKG,01,OFFLINE,LOW
CBE-L05-PAL01,PLT-CBE-01,CBE-L05,CBE-PA05,Palletizer,PAL,01,OFFLINE,LOW
